닉네임,소속팀,지역,DPI,일반감도,수직감도,스코프감도,2배율감도,3배율감도,4배율감도,6배율감도,8배율감도,해상도,인게임아이디
2heart,FA,AS,400,38,0.78,35,30,30,30,30,30,1920x1080,2heart
2steb4n,FA,AS,400,38,1.1,33,33,33,35,40,40,1728x1080,-
2star,FA,AS,800,44,1.2,38,41,41,41,41,41,1728x1080,-
777,TDT,APAC,800,40,0.9,39,40,40,40,40,40,1728x1080,TDTK7M
77owo,FA,AS,800,34,1.17,36,35,38,34,34,34,1728x1080,17_77owo-
9,FA,AS,400,50,1.2,37,37,40,40,40,40,1728x1080,-
911x,FA,AS,400,50,1.2,50,55,50,45,45,45,1728x1080,-
04nb,PERO,AS,800,45,1,40,40,40,40,40,40,1728x1080,PeRo_04NB1
axidd,EDG,AS,800,45,1.2,35,35,35,35,35,35,1728x1080,CCG_Axidd
adder,FA,AS,400,50,1.2,50,50,50,50,50,50,1920x1080,adder28
adouzie,S8UL,EU,400,42,0.85,33,40,40,40,40,40,1920x1080,ADOUZ1E
aixleft,PERO,AS,800,50,1.15,38,38,38,41,41,41,1728x1080,Aixleft
akan,GK,AS,1100,50,0.8,50,50,50,50,50,50,1920x1080,GK_AKaN
alow,TL,AMER,400,56,1,50,50,50,49,49,49,1728x1080,alowflaylow
americano,FA,AS,300,37,0.85,37,40,41,38,38,38,1728x1080,-
aqua5,FA,AS,1600,15,1.12,15,15,15,15,15,15,1728x1080,-
asura,FA,AS,400,43,0.85,38,38,38,36,36,36,1920x1080,-
alya,FA,EU,800,42,1,42,42,43,43,44,44,1920x1080,-
atongmuu,FA,AS,400,45,1,30,35,35,35,35,35,1728x1080,-
arte,FA,AS,400,53,1,35,40,40,40,40,40,1728x1080,-
az,FA,AS,400,50,0.98,35,40,42,40,40,40,1728x1080,-
aleksib,FA,AS,800,45,1.2,35,35,35,35,35,35,1728x1080,-
ahcay,FA,AS,800,23,1.15,18,20,17,15,15,17,1920x1080,-
ayoh,CR,AS,400,45,1,39,43,43,43,43,43,1920x1080,CR_Ayoh
alphaca,FA,AS,400,45,0.85,37,40,41,39,39,39,1920x1080,-
anx1n,FA,AS,400,28,0.8,28,28,28,28,28,28,1728x1080,SGA_supreme
baren,MITH,APAC,400,45,1,35,42,42,42,42,42,1728x1080,mikewazoskxi-
banana0ne,FW,APAC,800,45,1.17,35,40,40,37,37,37,1728x1080,banana0ne
barpo,DN,AS,400,55,1.11,35,37,37,37,37,37,1728x1080,DN_Barpo
batulins,TWIS,EU,1600,25,1,18,20,21,20,21,20,1920x1080,BatulinS
beami,VP,EU,400,50,1.1,35,38,41,41,42,42,1728x1080,CertifiedWhiffer
bean,GEN,AS,400,55,1,35,40,40,40,40,40,1728x1080,GEN_BeaN0421
belmoth,FS,APAC,400,42,0.88,32,35,40,35,35,35,1920x1080,-
bielmtcalmo,FA,AMER,800,39,1.2,39,39,39,39,39,39,1728x1080,bielmtcalmo
bestoloch,S8UL,EU,800,35,0.9,30,35,35,35,35,35,1728x1080,bestoloch
bigpicture,FA,AS,400,35,1,35,40,40,40,40,40,1728x1080,-
boost1k,NAVI,EU,400,45,1.1,35,40,40,40,40,40,1728x1080,boost1k-
breakers,FN,AS,400,50,1,35,36,37,36,35,35,1728x1080,FN_Breakers
black9,FA,AS,800,25,1.1,25,25,25,25,25,25,1920x1080,-
bobo,FA,AS,800,34,1.1,26,26,31,26,26,26,1728x1080,-
baron,S2G,EU,800,36,1,20,20,20,20,20,20,1728x1080,-
cc108,GSW,AS,800,50,0.83,25,33,34,35,35,35,1728x1080,GSW_CC108
clories,GTE,APAC,800,30,1,30,30,30,30,30,30,1920x1080,cloriesxxx
codemarco,FA,EU,800,30,1,25,25,25,25,25,25,1728x1080,-
cold119,JDG,AS,400,45,1.1,40,40,42,42,40,40,1728x1080,JDG_Cold119
crazy112,FA,AS,400,45,1.15,38,41,41,41,41,41,1728x1080,-
cui71,PERO,AS,800,25,1,20,22,22,22,22,22,1728x1080,Cui71NB
curexi,VP,EU,400,51,1,35,40,40,40,40,40,1920x1080,curexi
ceh9,FA,EU,800,30,0.85,28,28,30,22,23,23,1728x1080,-
cowboi,TL,AMER,800,35,1,35,35,35,35,35,35,1920x1080,CowBoixx
chigi,FA,AS,800,40,1.15,30,35,40,30,28,28,1728x1080,-
crux,FA,AS,400,40,1,29,29,29,29,29,29,1728x1080,-
chu,TDT,APAC,400,45,1.1,29,33,33,33,33,33,1728x1080,-
ccinext,S2G,EU,800,22,1.11,18,18,18,18,18,18,1728x1080,-
daeyeon,PHE,AS,400,45,1,35,40,40,40,40,40,1728x1080,PHE_K1ng
dec12th,JDG,AS,400,45,0.85,35,40,40,40,40,40,1728x1080,JDG_Dec12th
delwynn,AL,APAC,800,30,0.9,25,25,25,25,25,25,1920x1080,Delwyn-w-
